trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
69,False,"{'a': 0.2, 'e': 0.4998370298991989}",20,0,-6.196676088804695,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
70,False,"{'a': 0.2, 'e': 0.49483865960020695}",20,0,-15.212190169027073,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
71,False,"{'a': 0.2, 'e': 0.4898902730042049}",20,0,-10.267299660780928,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
72,False,"{'a': 0.2, 'e': 0.48499137027416284}",25,3,-58.82482003281421,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 1}",1
73,False,"{'a': 0.2, 'e': 0.4801414565714212}",20,0,-50.76988990093524,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
74,False,"{'a': 0.2, 'e': 0.475340042005707}",25,4,21.896080570838475,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.2, 'e': 0.47058664158564995}",20,0,-65.16958942607201,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
76,False,"{'a': 0.2, 'e': 0.4658807751697934}",30,0,-92.10401970995204,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
77,False,"{'a': 0.2, 'e': 0.4612219674180955}",20,0,-10.063758722412217,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
78,False,"{'a': 0.2, 'e': 0.45660974774391455}",20,0,-72.41535990126074,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
79,False,"{'a': 0.2, 'e': 0.4520436502664754}",25,0,-25.623474886475368,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
80,False,"{'a': 0.2, 'e': 0.44752321376381066}",20,0,-55.53378888268195,"{0: 16, 1: 0, 2: 0, 3: 4, 4: 0}",0
81,False,"{'a': 0.2, 'e': 0.44304798162617254}",25,12,14.688602069741883,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.2, 'e': 0.4386175018099108}",25,0,-6.143352016524053,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
83,False,"{'a': 0.2, 'e': 0.4342313267918117}",20,12,-37.88104542770517,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
84,False,"{'a': 0.2, 'e': 0.4298890135238936}",25,1,1.4872796569789701,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
85,False,"{'a': 0.2, 'e': 0.42559012338865465}",25,0,-61.33483451109324,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
86,False,"{'a': 0.2, 'e': 0.4213342221547681}",25,13,2.4360735962195696,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
87,False,"{'a': 0.2, 'e': 0.41712087993322045}",25,0,-120.34201510974285,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
88,False,"{'a': 0.2, 'e': 0.41294967113388825}",25,0,-65.04753781727723,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
89,False,"{'a': 0.2, 'e': 0.40882017442254937}",30,24,10.685720385216396,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.2, 'e': 0.4047319726783239}",35,9,-78.22740021941782,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 2}",1
91,False,"{'a': 0.2, 'e': 0.40068465295154065}",30,20,9.333824168179333,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.2, 'e': 0.39667780642202527}",35,22,-44.54095078913904,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
93,False,"{'a': 0.2, 'e': 0.392711028357805}",30,9,-36.03728688164168,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 0}",1
94,False,"{'a': 0.2, 'e': 0.38878391807422696}",25,0,-15.420903490602882,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
95,False,"{'a': 0.2, 'e': 0.3848960788934847}",30,0,-93.35503482832364,"{0: 23, 1: 0, 2: 3, 3: 3, 4: 1}",0
96,False,"{'a': 0.2, 'e': 0.38104711810454983}",20,6,-10.176596334336537,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
97,False,"{'a': 0.2, 'e': 0.37723664692350434}",25,0,-27.184797265242405,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
98,False,"{'a': 0.2, 'e': 0.37346428045426927}",20,0,-57.86852334100747,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
99,False,"{'a': 0.2, 'e': 0.36972963764972655}",30,0,-85.5392152549336,"{0: 21, 1: 0, 2: 7, 3: 2, 4: 0}",0
100,False,"{'a': 0.2, 'e': 0.36603234127322926}",25,0,-36.113105665537425,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
101,False,"{'a': 0.2, 'e': 0.36237201786049694}",30,0,-71.37125093864154,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
102,False,"{'a': 0.2, 'e': 0.358748297681892}",20,0,4.218940358096774,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
103,False,"{'a': 0.2, 'e': 0.35516081470507305}",25,3,-31.430814270644426,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
104,False,"{'a': 0.2, 'e': 0.3516092065580223}",25,18,13.736559713266178,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
